drug	organism	mg_per_L	comment
Ticarcillin-Clavulanic acid	Klebsiella pneumoniae	NA	missing
Tigecycline	Klebsiella pneumoniae	2	
Tobramycin	Klebsiella pneumoniae	2	
Trimethoprim	Klebsiella pneumoniae	NA	missing
Trimethoprim-Sulfamethoxazole	Klebsiella pneumoniae	1	
Amikacin	Klebsiella spp	NA	missing
Amoxicillin	Klebsiella spp	NA	missing
Ampicillin	Klebsiella spp	8	
Aztreonam	Klebsiella spp	NA	missing
Cefaclor	Klebsiella spp	NA	missing
Cefadroxil	Klebsiella spp	16	
Cefalexin	Klebsiella spp	16	
Cefalothin (a.k.a. Cefalotin)	Klebsiella spp	NA	missing
Cefepime	Klebsiella spp	NA	missing
Cefixime	Klebsiella spp	NA	missing
Cefotaxime	Klebsiella spp	0.125	
Cefpirome	Klebsiella spp	0.25	
Ceftazidime	Klebsiella spp	0.5	
Ceftobiprole	Klebsiella spp	NA	missing
Ceftriaxone	Klebsiella spp	0.125	
Cefuroxime	Klebsiella spp	8	
Chloramphenicol	Klebsiella spp	NA	missing
Ciprofloxacin	Klebsiella spp	0.125	
Colistin	Klebsiella spp	NA	missing
Doripenem	Klebsiella spp	0.125	
Doxycycline	Klebsiella spp	NA	missing
Ertapenem	Klebsiella spp	0.064	
Fosfomycin	Klebsiella spp	NA	missing
Gatifloxacin	Klebsiella spp	0.25	
Gentamicin	Klebsiella spp	2	
Imipenem	Klebsiella spp	1	
Kanamycin	Klebsiella spp	NA	missing
Levofloxacin	Klebsiella spp	0.25	
Loracarbef	Klebsiella spp	NA	missing
Meropenem	Klebsiella spp	0.125	
Minocycline	Klebsiella spp	NA	missing
Moxifloxacin	Klebsiella spp	0.25	
Neomycin	Klebsiella spp	NA	missing
Netilmicin	Klebsiella spp	2	
Norfloxacin	Klebsiella spp	0.25	
Ofloxacin	Klebsiella spp	0.25	
Piperacillin	Klebsiella spp	NA	missing
Piperacillin-Tazobactam	Klebsiella spp	8	
Sparfloxacin	Klebsiella spp	NA	missing
Streptomycin	Klebsiella spp	NA	missing
Sulfamethoxazole	Klebsiella spp	NA	missing
Tetracycline	Klebsiella spp	NA	missing
Tobramycin	Klebsiella spp	2	
Trimethoprim	Klebsiella spp	NA	missing
Trimethoprim-Sulfamethoxazole	Klebsiella spp	1	
Ceftobiprole	Klebsiella terrigena	NA	missing
Ampicillin	Kluyvera spp	NA	missing
Cefalothin (a.k.a. Cefalotin)	Kluyvera spp	NA	missing
Chloramphenicol	Kluyvera spp	NA	missing
Ciprofloxacin	Kluyvera spp	NA	missing
Imipenem	Kluyvera spp	NA	missing
Nalidixic acid	Kluyvera spp	NA	missing
Streptomycin	Kluyvera spp	NA	missing
Tetracycline	Kluyvera spp	NA	missing
Ampicillin	Lactobacillus acidophilus	NA	missing
Clindamycin	Lactobacillus acidophilus	NA	missing
Erythromycin	Lactobacillus acidophilus	NA	missing
Gentamicin	Lactobacillus acidophilus	NA	missing
Streptomycin	Lactobacillus acidophilus	NA	missing
Tetracycline	Lactobacillus acidophilus	NA	missing
Vancomycin	Lactobacillus acidophilus	NA	missing
Ampicillin	Lactobacillus amylovorus	NA	missing
Gentamicin	Lactobacillus amylovorus	NA	missing
Streptomycin	Lactobacillus amylovorus	NA	missing
Tetracycline	Lactobacillus amylovorus	NA	missing
Vancomycin	Lactobacillus amylovorus	NA	missing
Ampicillin	Lactobacillus crispatus	NA	missing
Clindamycin	Lactobacillus crispatus	NA	missing
Gentamicin	Lactobacillus crispatus	NA	missing
Streptomycin	Lactobacillus crispatus	NA	missing
Tetracycline	Lactobacillus crispatus	NA	missing
Vancomycin	Lactobacillus crispatus	NA	missing
Gentamicin	Lactobacillus delbrueckii	NA	missing
Streptomycin	Lactobacillus delbrueckii	NA	missing
Tetracycline	Lactobacillus delbrueckii	NA	missing
Vancomycin	Lactobacillus delbrueckii	NA	missing
Erythromycin	Lactobacillus fermentum	NA	missing
Gentamicin	Lactobacillus fermentum	NA	missing
Streptomycin	Lactobacillus fermentum	NA	missing
Tetracycline	Lactobacillus fermentum	NA	missing
Ampicillin	Lactobacillus gallinarum	NA	missing
Gentamicin	Lactobacillus gallinarum	NA	missing
Streptomycin	Lactobacillus gallinarum	NA	missing
Tetracycline	Lactobacillus gallinarum	NA	missing
Vancomycin	Lactobacillus gallinarum	NA	missing
Ampicillin	Lactobacillus gasseri	NA	missing
Clindamycin	Lactobacillus gasseri	NA	missing
Erythromycin	Lactobacillus gasseri	NA	missing
Gentamicin	Lactobacillus gasseri	NA	missing
Streptomycin	Lactobacillus gasseri	NA	missing
Tetracycline	Lactobacillus gasseri	NA	missing
Vancomycin	Lactobacillus gasseri	NA	missing
Clindamycin	Lactobacillus helveticus	NA	missing
Gentamicin	Lactobacillus helveticus	NA	missing
Streptomycin	Lactobacillus helveticus	NA	missing
Tetracycline	Lactobacillus helveticus	NA	missing
Vancomycin	Lactobacillus helveticus	NA	missing
Ampicillin	Lactobacillus johnsonii	NA	missing
Clindamycin	Lactobacillus johnsonii	NA	missing
Erythromycin	Lactobacillus johnsonii	NA	missing
Gentamicin	Lactobacillus johnsonii	NA	missing
Streptomycin	Lactobacillus johnsonii	NA	missing
Tetracycline	Lactobacillus johnsonii	NA	missing
Vancomycin	Lactobacillus johnsonii	NA	missing
Chloramphenicol	Lactobacillus lactis	NA	missing
Clindamycin	Lactobacillus lactis	NA	missing
Erythromycin	Lactobacillus lactis	NA	missing
Streptomycin	Lactobacillus lactis	NA	missing
Tetracycline	Lactobacillus lactis	NA	missing
Vancomycin	Lactobacillus lactis	NA	missing
Ampicillin	Lactobacillus paracasei	NA	missing
Erythromycin	Lactobacillus paracasei	NA	missing
Tetracycline	Lactobacillus paracasei	NA	missing
Ampicillin	Lactobacillus plantarum	NA	missing
Clindamycin	Lactobacillus plantarum	NA	missing
Erythromycin	Lactobacillus plantarum	NA	missing
Gentamicin	Lactobacillus plantarum	NA	missing
Streptomycin	Lactobacillus plantarum	NA	missing
Tetracycline	Lactobacillus plantarum	NA	missing
Amikacin	Lactobacillus reuteri	NA	missing
Ampicillin	Lactobacillus reuteri	NA	missing
Chloramphenicol	Lactobacillus reuteri	NA	missing
Clindamycin	Lactobacillus reuteri	NA	missing
Erythromycin	Lactobacillus reuteri	NA	missing
Gentamicin	Lactobacillus reuteri	NA	missing
Kanamycin	Lactobacillus reuteri	NA	missing
Linezolid	Lactobacillus reuteri	NA	missing
Netilmicin	Lactobacillus reuteri	NA	missing
Quinupristin-Dalfopristin	Lactobacillus reuteri	NA	missing
Streptomycin	Lactobacillus reuteri	NA	missing
Tetracycline	Lactobacillus reuteri	NA	missing
Trimethoprim	Lactobacillus reuteri	NA	missing
Vancomycin	Lactobacillus reuteri	NA	missing
Ampicillin	Lactobacillus rhamnosus	NA	missing
Gentamicin	Lactobacillus rhamnosus	NA	missing
Streptomycin	Lactobacillus rhamnosus	NA	missing
Tetracycline	Lactobacillus rhamnosus	NA	missing
Ampicillin	Lactobacillus sakei	NA	missing
Erythromycin	Lactobacillus sakei	NA	missing
Gentamicin	Lactobacillus sakei	NA	missing
Streptomycin	Lactobacillus sakei	NA	missing
Tetracycline	Lactobacillus sakei	NA	missing
Amikacin	Lactobacillus spp	NA	missing
Chloramphenicol	Lactobacillus spp	NA	missing
Gentamicin	Lactobacillus spp	NA	missing
Kanamycin	Lactobacillus spp	NA	missing
Linezolid	Lactobacillus spp	NA	missing
Netilmicin	Lactobacillus spp	NA	missing
Quinupristin-Dalfopristin	Lactobacillus spp	NA	missing
Trimethoprim	Lactobacillus spp	NA	missing
Vancomycin	Lactobacillus spp	NA	missing
Ampicillin	Lactococcus lactis	NA	missing
Chloramphenicol	Lactococcus lactis	NA	missing
Clindamycin	Lactococcus lactis	NA	missing
Erythromycin	Lactococcus lactis	NA	missing
Gentamicin	Lactococcus lactis	NA	missing
Streptomycin	Lactococcus lactis	NA	missing
Tetracycline	Lactococcus lactis	NA	missing
Vancomycin	Lactococcus lactis	NA	missing
Amoxicillin	Legionella pneumophila	NA	missing
Ampicillin	Legionella pneumophila	NA	missing
Azithromycin	Legionella pneumophila	NA	missing
Cefdinir	Legionella pneumophila	NA	missing
Cefotaxime	Legionella pneumophila	NA	missing
Cefpodoxime	Legionella pneumophila	NA	missing
Cefuroxime	Legionella pneumophila	NA	missing
Chloramphenicol	Legionella pneumophila	1	
Clarithromycin	Legionella pneumophila	0.5	
Doxycycline	Legionella pneumophila	NA	missing
Erythromycin	Legionella pneumophila	1	
Levofloxacin	Legionella pneumophila	NA	missing
Ofloxacin	Legionella pneumophila	NA	missing
Rifampicin	Legionella pneumophila	NA	missing
Sparfloxacin	Legionella pneumophila	NA	missing
Tigecycline	Legionella pneumophila	NA	missing
Trimethoprim-Sulfamethoxazole	Legionella pneumophila	1	
Ampicillin	Listeria monocytogenes	1	
Benzylpenicillin	Listeria monocytogenes	1	
Chloramphenicol	Listeria monocytogenes	NA	missing
Ciprofloxacin	Listeria monocytogenes	NA	missing
Daptomycin	Listeria monocytogenes	4	
Enrofloxacin	Listeria monocytogenes	NA	missing
Erythromycin	Listeria monocytogenes	1	
Gentamicin	Listeria monocytogenes	NA	missing
Kanamycin	Listeria monocytogenes	NA	missing
Levofloxacin	Listeria monocytogenes	NA	missing
Lincomycin	Listeria monocytogenes	NA	missing
Linezolid	Listeria monocytogenes	4	
Meropenem	Listeria monocytogenes	0.25	
Moxifloxacin	Listeria monocytogenes	NA	missing
Norfloxacin	Listeria monocytogenes	NA	missing
Ofloxacin	Listeria monocytogenes	NA	missing
Oxacillin	Listeria monocytogenes	NA	missing
Oxytetracycline	Listeria monocytogenes	NA	missing
Piperacillin-Tazobactam	Listeria monocytogenes	8	
Sparfloxacin	Listeria monocytogenes	NA	missing
Streptomycin	Listeria monocytogenes	NA	missing
Sulfamethoxazole	Listeria monocytogenes	NA	missing
Tetracycline	Listeria monocytogenes	1	
Tigecycline	Listeria monocytogenes	0.25	
Trimethoprim	Listeria monocytogenes	NA	missing
Trimethoprim-Sulfamethoxazole	Listeria monocytogenes	0.064	
Vancomycin	Listeria monocytogenes	NA	missing
Virginiamycin	Listeria monocytogenes	NA	missing
Amoxicillin	Mannheimia haemolytica	0.5	
Ceftiofur	Mannheimia haemolytica	NA	missing
Chloramphenicol	Mannheimia haemolytica	2	
Enrofloxacin	Mannheimia haemolytica	NA	missing
Florfenicol	Mannheimia haemolytica	NA	missing
Flumequine	Mannheimia haemolytica	NA	missing
Gentamicin	Mannheimia haemolytica	4	
Neomycin	Mannheimia haemolytica	NA	missing
Spectinomycin	Mannheimia haemolytica	NA	missing
Tetracycline	Mannheimia haemolytica	2	
Tilmicosin	Mannheimia haemolytica	NA	missing
Trimethoprim-Sulfamethoxazole	Mannheimia haemolytica	NA	missing
Amoxicillin	Moraxella catarrhalis	0.125	
Ampicillin	Moraxella catarrhalis	0.125	
Aztreonam	Moraxella catarrhalis	NA	missing
Cefaclor	Moraxella catarrhalis	NA	missing
Cefdinir	Moraxella catarrhalis	NA	missing
Cefepime	Moraxella catarrhalis	NA	missing
Cefixime	Moraxella catarrhalis	NA	missing
Cefotaxime	Moraxella catarrhalis	NA	missing
Cefpodoxime	Moraxella catarrhalis	NA	missing
Ceftazidime	Moraxella catarrhalis	NA	missing
Ceftibuten	Moraxella catarrhalis	NA	missing
Ceftobiprole	Moraxella catarrhalis	NA	missing
Ceftriaxone	Moraxella catarrhalis	NA	missing
Cefuroxime	Moraxella catarrhalis	NA	missing
Chloramphenicol	Moraxella catarrhalis	2	
Ciprofloxacin	Moraxella catarrhalis	0.125	
Clarithromycin	Moraxella catarrhalis	0.125	
Doripenem	Moraxella catarrhalis	NA	missing
Doxycycline	Moraxella catarrhalis	1	
Ertapenem	Moraxella catarrhalis	0.064	
Erythromycin	Moraxella catarrhalis	0.25	
Gatifloxacin	Moraxella catarrhalis	NA	missing
Gemifloxacin	Moraxella catarrhalis	NA	missing
Gentamicin	Moraxella catarrhalis	NA	missing
Imipenem	Moraxella catarrhalis	0.25	
Levofloxacin	Moraxella catarrhalis	0.125	
Meropenem	Moraxella catarrhalis	NA	missing
Minocycline	Moraxella catarrhalis	0.25	
Moxifloxacin	Moraxella catarrhalis	0.25	
Nalidixic acid	Moraxella catarrhalis	8	
Ofloxacin	Moraxella catarrhalis	0.25	
Roxithromycin	Moraxella catarrhalis	0.25	
Sparfloxacin	Moraxella catarrhalis	NA	missing
Telithromycin	Moraxella catarrhalis	NA	missing
Tetracycline	Moraxella catarrhalis	2	
Tigecycline	Moraxella catarrhalis	0.25	
Trimethoprim	Moraxella catarrhalis	NA	missing
Trimethoprim-Sulfamethoxazole	Moraxella catarrhalis	0.5	
Amikacin	Morganella morganii	8	
Amoxicillin	Morganella morganii	8	
Ampicillin-Sulbactam (ratio)	Morganella morganii	NA	missing
Cefalexin	Morganella morganii	16	
Cefalothin (a.k.a. Cefalotin)	Morganella morganii	NA	missing
Cefazolin	Morganella morganii	NA	missing
Cefepime	Morganella morganii	0.125	
Cefoperazone	Morganella morganii	NA	missing
Cefotaxime	Morganella morganii	NA	missing
Cefoxitin	Morganella morganii	NA	missing
Cefpirome	Morganella morganii	NA	missing
Ceftaroline	Morganella morganii	NA	missing
Ceftazidime	Morganella morganii	0.25	
Ceftibuten	Morganella morganii	NA	missing
Ceftobiprole	Morganella morganii	NA	missing
Ceftriaxone	Morganella morganii	NA	missing
Cefuroxime	Morganella morganii	NA	missing
Ciprofloxacin	Morganella morganii	0.125	
Colistin	Morganella morganii	NA	missing
Doripenem	Morganella morganii	1	
Doxycycline	Morganella morganii	8	
Ertapenem	Morganella morganii	0.064	
Gatifloxacin	Morganella morganii	0.5	
Gentamicin	Morganella morganii	2	
Imipenem	Morganella morganii	4	
Levofloxacin	Morganella morganii	0.25	
Loracarbef	Morganella morganii	NA	missing
Mecillinam	Morganella morganii	NA	missing
Meropenem	Morganella morganii	0.25	
Minocycline	Morganella morganii	NA	missing
Moxifloxacin	Morganella morganii	0.5	
Nalidixic acid	Morganella morganii	NA	missing
Ofloxacin	Morganella morganii	0.5	
Piperacillin	Morganella morganii	NA	missing
Piperacillin-Tazobactam	Morganella morganii	2	
Sparfloxacin	Morganella morganii	NA	missing
Tetracycline	Morganella morganii	8	
Tigecycline	Morganella morganii	8	
Tobramycin	Morganella morganii	4	
Trimethoprim	Morganella morganii	NA	missing
Trimethoprim-Sulfamethoxazole	Morganella morganii	1	
Doxycycline	Mycobacterium marinum	NA	missing
Amikacin	Mycobacterium tuberculosis	NA	missing
Capreomycin	Mycobacterium tuberculosis	NA	missing
Ciprofloxacin	Mycobacterium tuberculosis	NA	missing
Ethambutol	Mycobacterium tuberculosis	NA	missing
Kanamycin	Mycobacterium tuberculosis	NA	missing
Levofloxacin	Mycobacterium tuberculosis	NA	missing
Moxifloxacin	Mycobacterium tuberculosis	NA	missing
Ofloxacin	Mycobacterium tuberculosis	NA	missing
Rifampicin	Mycobacterium tuberculosis	NA	missing
Streptomycin	Mycobacterium tuberculosis	NA	missing
Ampicillin	Neisseria gonorrhoeae	NA	missing
Azithromycin	Neisseria gonorrhoeae	0.25	
Benzylpenicillin	Neisseria gonorrhoeae	NA	missing
Cefaclor	Neisseria gonorrhoeae	NA	missing
Cefalexin	Neisseria gonorrhoeae	NA	missing
Cefazolin	Neisseria gonorrhoeae	NA	missing
Cefixime	Neisseria gonorrhoeae	NA	missing
Cefotaxime	Neisseria gonorrhoeae	0.016	
Cefpirome	Neisseria gonorrhoeae	NA	missing
Ceftazidime	Neisseria gonorrhoeae	NA	missing
Ceftriaxone	Neisseria gonorrhoeae	0.032	
Cefuroxime	Neisseria gonorrhoeae	0.125	
Chloramphenicol	Neisseria gonorrhoeae	NA	missing
Ciprofloxacin	Neisseria gonorrhoeae	0.016	
Clarithromycin	Neisseria gonorrhoeae	NA	missing
Ertapenem	Neisseria gonorrhoeae	0.064	
Erythromycin	Neisseria gonorrhoeae	0.5	
Gatifloxacin	Neisseria gonorrhoeae	0.008	
Gemifloxacin	Neisseria gonorrhoeae	NA	missing
Gentamicin	Neisseria gonorrhoeae	NA	missing
Imipenem	Neisseria gonorrhoeae	NA	missing
Levofloxacin	Neisseria gonorrhoeae	0.016	
Meropenem	Neisseria gonorrhoeae	NA	missing
Moxifloxacin	Neisseria gonorrhoeae	0.032	
Ofloxacin	Neisseria gonorrhoeae	0.064	
Roxithromycin	Neisseria gonorrhoeae	NA	missing
Sparfloxacin	Neisseria gonorrhoeae	NA	missing
Spectinomycin	Neisseria gonorrhoeae	64	
Telithromycin	Neisseria gonorrhoeae	NA	missing
Tetracycline	Neisseria gonorrhoeae	NA	missing
Trimethoprim-Sulfamethoxazole	Neisseria gonorrhoeae	NA	missing
Amoxicillin	Neisseria meningitidis	NA	missing
Ampicillin	Neisseria meningitidis	NA	missing
Azithromycin	Neisseria meningitidis	NA	missing
Benzylpenicillin	Neisseria meningitidis	0.25	
Cefaclor	Neisseria meningitidis	NA	missing
Cefalexin	Neisseria meningitidis	NA	missing
Cefepime	Neisseria meningitidis	NA	missing
Cefotaxime	Neisseria meningitidis	0.016	
Cefpirome	Neisseria meningitidis	NA	missing
Ceftriaxone	Neisseria meningitidis	NA	missing
Cefuroxime	Neisseria meningitidis	0.125	
Chloramphenicol	Neisseria meningitidis	2	
Ciprofloxacin	Neisseria meningitidis	0.016	
Ertapenem	Neisseria meningitidis	NA	missing
Gemifloxacin	Neisseria meningitidis	NA	missing
Imipenem	Neisseria meningitidis	NA	missing
Levofloxacin	Neisseria meningitidis	0.032	
Meropenem	Neisseria meningitidis	NA	missing
Minocycline	Neisseria meningitidis	1	
Moxifloxacin	Neisseria meningitidis	0.064	
Phenoxymethylpenicillin	Neisseria meningitidis	NA	missing
Piperacillin-Tazobactam	Neisseria meningitidis	NA	missing
Rifampicin	Neisseria meningitidis	NA	missing
Sparfloxacin	Neisseria meningitidis	NA	missing
Tetracycline	Neisseria meningitidis	NA	missing
Tigecycline	Neisseria meningitidis	NA	missing
Trimethoprim-Sulfamethoxazole	Neisseria meningitidis	NA	missing
Amoxicillin	Pasteurella multocida	1	
Ampicillin	Pasteurella multocida	1	
Benzylpenicillin	Pasteurella multocida	0.5	
Cefotaxime	Pasteurella multocida	0.032	
Chloramphenicol	Pasteurella multocida	2	
Ciprofloxacin	Pasteurella multocida	0.064	
Doxycycline	Pasteurella multocida	1	
Enrofloxacin	Pasteurella multocida	NA	missing
Florfenicol	Pasteurella multocida	1	
Flumequine	Pasteurella multocida	NA	missing
Gentamicin	Pasteurella multocida	8	
Kanamycin	Pasteurella multocida	NA	missing
Neomycin	Pasteurella multocida	NA	missing
Oxytetracycline	Pasteurella multocida	NA	missing
Spectinomycin	Pasteurella multocida	NA	missing
Tetracycline	Pasteurella multocida	2	
Tigecycline	Pasteurella multocida	0.25	
Tilmicosin	Pasteurella multocida	NA	missing
Imipenem	Pasteurella spp	NA	missing
Moxifloxacin	Peptostreptococcus micros	NA	missing
Benzylpenicillin	Peptostreptococcus spp	NA	missing
Ciprofloxacin	Peptostreptococcus spp	NA	missing
Clarithromycin	Peptostreptococcus spp	NA	missing
Ertapenem	Peptostreptococcus spp	NA	missing
Erythromycin	Peptostreptococcus spp	NA	missing
Imipenem	Peptostreptococcus spp	NA	missing
Levofloxacin	Peptostreptococcus spp	NA	missing
Meropenem	Peptostreptococcus spp	NA	missing
Moxifloxacin	Peptostreptococcus spp	NA	missing
Quinupristin-Dalfopristin	Peptostreptococcus spp	NA	missing
Roxithromycin	Peptostreptococcus spp	NA	missing
Telithromycin	Peptostreptococcus spp	NA	missing
Ticarcillin-Clavulanic acid	Peptostreptococcus spp	NA	missing
Tigecycline	Peptostreptococcus spp	NA	missing
Ofloxacin	Plesiomonas shigelloides	NA	missing
Sparfloxacin	Plesiomonas shigelloides	NA	missing
Amoxicillin	Porphyromonas spp	NA	missing
Imipenem	Porphyromonas spp	NA	missing
Amoxicillin	Prevotella spp	NA	missing
Benzylpenicillin	Prevotella spp	NA	missing
Cefoxitin	Prevotella spp	NA	missing
Clindamycin	Prevotella spp	NA	missing
Imipenem	Prevotella spp	NA	missing
Levofloxacin	Prevotella spp	NA	missing
Metronidazole	Prevotella spp	NA	missing
Piperacillin-Tazobactam	Prevotella spp	NA	missing
Ticarcillin-Clavulanic acid	Prevotella spp	NA	missing
Cefalothin (a.k.a. Cefalotin)	Prevotella spp beta lactamase pos	NA	missing
Amoxicillin	Propionibacterium acnes	NA	missing
Benzylpenicillin	Propionibacterium acnes	0.125	
Linezolid	Propionibacterium acnes	NA	missing
Tetracycline	Propionibacterium acnes	NA	missing
Vancomycin	Propionibacterium acnes	2	
Amikacin	Proteus mirabilis	8	
Amoxicillin	Proteus mirabilis	2	
Amoxicillin-Clavulanic acid (fixed)	Proteus mirabilis	NA	missing
Ampicillin	Proteus mirabilis	8	
Ampicillin-Sulbactam (fixed)	Proteus mirabilis	4	
Ampicillin-Sulbactam (ratio)	Proteus mirabilis	4	
Cefaclor	Proteus mirabilis	NA	missing
Cefadroxil	Proteus mirabilis	16	
Cefalexin	Proteus mirabilis	16	
Cefaloridine	Proteus mirabilis	NA	missing
Cefalothin (a.k.a. Cefalotin)	Proteus mirabilis	NA	missing
Cefazolin	Proteus mirabilis	NA	missing
Cefepime	Proteus mirabilis	0.125	
Cefixime	Proteus mirabilis	NA	missing
Cefoperazone	Proteus mirabilis	NA	missing
Cefotaxime	Proteus mirabilis	0.064	
Cefoxitin	Proteus mirabilis	8	
Cefpirome	Proteus mirabilis	0.25	
Ceftazidime	Proteus mirabilis	0.125	
Ceftibuten	Proteus mirabilis	NA	missing
Ceftobiprole	Proteus mirabilis	NA	missing
Ceftriaxone	Proteus mirabilis	0.016	
Cefuroxime	Proteus mirabilis	4	
Ciprofloxacin	Proteus mirabilis	0.064	
Colistin	Proteus mirabilis	NA	missing
Doripenem	Proteus mirabilis	0.5	
Doxycycline	Proteus mirabilis	NA	missing
Ertapenem	Proteus mirabilis	0.064	
Fosfomycin	Proteus mirabilis	8	
Gatifloxacin	Proteus mirabilis	0.5	
Gemifloxacin	Proteus mirabilis	NA	missing
Gentamicin	Proteus mirabilis	2	
Imipenem	Proteus mirabilis	4	
Kanamycin	Proteus mirabilis	NA	missing
Levofloxacin	Proteus mirabilis	0.25	
Loracarbef	Proteus mirabilis	NA	missing
Mecillinam	Proteus mirabilis	NA	missing
Meropenem	Proteus mirabilis	0.25	
Minocycline	Proteus mirabilis	NA	missing
Moxifloxacin	Proteus mirabilis	1	
Nalidixic acid	Proteus mirabilis	NA	missing
Netilmicin	Proteus mirabilis	4	
Nitrofurantoin	Proteus mirabilis	NA	missing
Norfloxacin	Proteus mirabilis	0.25	
Ofloxacin	Proteus mirabilis	0.5	
Piperacillin	Proteus mirabilis	NA	missing
Piperacillin-Tazobactam	Proteus mirabilis	2	
Sparfloxacin	Proteus mirabilis	NA	missing
Sulbactam	Proteus mirabilis	NA	missing
Tetracycline	Proteus mirabilis	128	
Tigecycline	Proteus mirabilis	8	
Tobramycin	Proteus mirabilis	4	
Trimethoprim	Proteus mirabilis	NA	missing
Trimethoprim-Sulfamethoxazole	Proteus mirabilis	1	
Amikacin	Proteus spp	8	
Ampicillin	Proteus spp	NA	missing
Cefadroxil	Proteus spp	16	
Cefalothin (a.k.a. Cefalotin)	Proteus spp	NA	missing
Cefixime	Proteus spp	NA	missing
Ceftibuten	Proteus spp	NA	missing
Doxycycline	Proteus spp	NA	missing
Fosfomycin	Proteus spp	NA	missing
Gentamicin	Proteus spp	2	
Levofloxacin	Proteus spp	0.25	
Loracarbef	Proteus spp	NA	missing
Netilmicin	Proteus spp	NA	missing
Nitrofurantoin	Proteus spp	NA	missing
Piperacillin	Proteus spp	NA	missing
Piperacillin-Tazobactam	Proteus spp	NA	missing
Sparfloxacin	Proteus spp	NA	missing
Tetracycline	Proteus spp	NA	missing
Tobramycin	Proteus spp	4	
Amikacin	Proteus vulgaris	8	
Ampicillin	Proteus vulgaris	NA	missing
Ampicillin-Sulbactam (ratio)	Proteus vulgaris	16	
Cefalexin	Proteus vulgaris	16	
Cefepime	Proteus vulgaris	0.125	
Cefoperazone	Proteus vulgaris	NA	missing
Cefotaxime	Proteus vulgaris	0.125	
Cefoxitin	Proteus vulgaris	NA	missing
Cefpirome	Proteus vulgaris	NA	missing
Ceftazidime	Proteus vulgaris	0.125	
Ceftobiprole	Proteus vulgaris	NA	missing
Cefuroxime	Proteus vulgaris	NA	missing
Ciprofloxacin	Proteus vulgaris	0.064	
Colistin	Proteus vulgaris	NA	missing
Doripenem	Proteus vulgaris	0.5	
Doxycycline	Proteus vulgaris	NA	missing
Ertapenem	Proteus vulgaris	0.064	
Gatifloxacin	Proteus vulgaris	0.5	
Gemifloxacin	Proteus vulgaris	NA	missing
Gentamicin	Proteus vulgaris	2	
Imipenem	Proteus vulgaris	4	
Levofloxacin	Proteus vulgaris	0.25	
Mecillinam	Proteus vulgaris	NA	missing
Meropenem	Proteus vulgaris	0.25	
Moxifloxacin	Proteus vulgaris	1	
Nalidixic acid	Proteus vulgaris	NA	missing
Ofloxacin	Proteus vulgaris	0.25	
Piperacillin	Proteus vulgaris	NA	missing
Piperacillin-Tazobactam	Proteus vulgaris	2	
Sparfloxacin	Proteus vulgaris	NA	missing
Sulbactam	Proteus vulgaris	NA	missing
Tetracycline	Proteus vulgaris	NA	missing
Tigecycline	Proteus vulgaris	8	
Tobramycin	Proteus vulgaris	2	
Trimethoprim	Proteus vulgaris	NA	missing
Trimethoprim-Sulfamethoxazole	Proteus vulgaris	1	
Ampicillin	Providencia rettgeri	NA	missing
Ampicillin-Sulbactam (ratio)	Providencia rettgeri	NA	missing
Cefoxitin	Providencia rettgeri	NA	missing
Cefuroxime	Providencia rettgeri	NA	missing
Ertapenem	Providencia rettgeri	0.064	
Gentamicin	Providencia rettgeri	NA	missing
Imipenem	Providencia rettgeri	4	
Meropenem	Providencia rettgeri	0.25	
Piperacillin	Providencia rettgeri	NA	missing
Piperacillin-Tazobactam	Providencia rettgeri	2	
Tigecycline	Providencia rettgeri	8	
Cefpirome	Providencia spp	NA	missing
Ceftazidime	Providencia spp	0.5	
Ceftriaxone	Providencia spp	NA	missing
Ciprofloxacin	Providencia spp	NA	missing
Ertapenem	Providencia spp	0.064	
Fosfomycin	Providencia spp	NA	missing
Gemifloxacin	Providencia spp	NA	missing
Imipenem	Providencia spp	NA	missing
Mecillinam	Providencia spp	NA	missing
Meropenem	Providencia spp	NA	missing
Norfloxacin	Providencia spp	0.25	
Ofloxacin	Providencia spp	NA	missing
Sparfloxacin	Providencia spp	NA	missing
Amikacin	Providencia stuartii	NA	missing
Ampicillin	Providencia stuartii	NA	missing
Ampicillin-Sulbactam (ratio)	Providencia stuartii	NA	missing
Cefoxitin	Providencia stuartii	NA	missing
Ceftazidime	Providencia stuartii	0.5	
Ceftobiprole	Providencia stuartii	NA	missing
Cefuroxime	Providencia stuartii	NA	missing
Ciprofloxacin	Providencia stuartii	NA	missing
Doripenem	Providencia stuartii	0.5	
Ertapenem	Providencia stuartii	0.064	
Gentamicin	Providencia stuartii	NA	missing
Imipenem	Providencia stuartii	4	
Mecillinam	Providencia stuartii	NA	missing
Meropenem	Providencia stuartii	0.25	
Piperacillin	Providencia stuartii	NA	missing
Piperacillin-Tazobactam	Providencia stuartii	8	
Tigecycline	Providencia stuartii	8	
Amikacin	Pseudomonas aeruginosa	16	
Ampicillin-Sulbactam (ratio)	Pseudomonas aeruginosa	NA	missing
Aztreonam	Pseudomonas aeruginosa	16	
Cefepime	Pseudomonas aeruginosa	8	
Cefotaxime	Pseudomonas aeruginosa	32	
Cefpirome	Pseudomonas aeruginosa	NA	missing
Cefpodoxime	Pseudomonas aeruginosa	NA	missing
