version	drug	organism	mg_per_L	comment
2024	Telavancin (with polysorbate P80)	Streptococcus constellatus	0.03	tentative
2024	Telavancin (with polysorbate P80)	Streptococcus dysgalactiae	0.125	tentative
2024	Telavancin (with polysorbate P80)	Streptococcus group G	NA	insufficient data
2024	Telavancin (with polysorbate P80)	Streptococcus mitis	NA	insufficient data
2024	Telavancin (with polysorbate P80)	Streptococcus oralis	NA	insufficient data
2024	Telavancin (with polysorbate P80)	Streptococcus pneumoniae	0.03	tentative
2024	Telavancin (with polysorbate P80)	Streptococcus pyogenes	NA	insufficient data
2024	Telavancin	Enterococcus faecalis	2	NA
2024	Telavancin	Enterococcus faecalis ATCC 29212	NA	insufficient data
2024	Telavancin	Enterococcus faecium	0.5	NA
2024	Telavancin	Staphylococcus aureus	1	NA
2024	Telavancin	Staphylococcus aureus ATCC 29213	NA	insufficient data
2024	Telavancin	Staphylococcus aureus MRSA	1	NA
2024	Telavancin	Staphylococcus aureus MSSA	1	NA
2024	Telavancin	Staphylococcus epidermidis	1	NA
2024	Telavancin	Staphylococcus epidermidis MSSE	NA	unspecified
2024	Telavancin	Staphylococcus haemolyticus	1	tentative
2024	Telavancin	Streptococcus agalactiae	0.125	NA
2024	Telavancin	Streptococcus group G	0.125	tentative
2024	Telavancin	Streptococcus intermedius	NA	unspecified
2024	Telavancin	Streptococcus oralis	NA	insufficient data
2024	Telavancin	Streptococcus pneumoniae	NA	insufficient data
2024	Telavancin	Streptococcus pyogenes	0.125	NA
2024	Telithromycin	Campylobacter coli	NA	insufficient data
2024	Telithromycin	Campylobacter jejuni	4	NA
2024	Telithromycin	Campylobacter upsaliensis	NA	insufficient data
2024	Telithromycin	Enterococcus faecalis	NA	insufficient data
2024	Telithromycin	Haemophilus influenzae	8	NA
2024	Telithromycin	Listeria monocytogenes	NA	insufficient data
2024	Telithromycin	Moraxella catarrhalis	NA	insufficient data
2024	Telithromycin	Neisseria gonorrhoeae	NA	insufficient data
2024	Telithromycin	Neisseria meningitidis	NA	insufficient data
2024	Telithromycin	Staphylococcus aureus MRSA	NA	insufficient data
2024	Telithromycin	Staphylococcus aureus MSSA	NA	insufficient data
2024	Telithromycin	Staphylococcus saprophyticus	NA	insufficient data
2024	Telithromycin	Streptococcus agalactiae	NA	unspecified
2024	Telithromycin	Streptococcus anginosus group	NA	insufficient data
2024	Telithromycin	Streptococcus pneumoniae	0.06	NA
2024	Telithromycin	Streptococcus pyogenes	0.03	NA
2024	Temocillin	Burkholderia cepacia complex	64	tentative
2024	Temocillin	Citrobacter freundii	NA	insufficient data
2024	Temocillin	Enterobacter cloacae	NA	insufficient data
2024	Temocillin	Escherichia coli	16	NA
2024	Temocillin	Escherichia coli ATCC 25922	NA	insufficient data
2024	Temocillin	Escherichia coli ATCC 35218	NA	insufficient data
2024	Temocillin	Escherichia coli NCTC 13846	NA	insufficient data
2024	Temocillin	Haemophilus influenzae	1	tentative
2024	Temocillin	Klebsiella aerogenes	64	tentative
2024	Temocillin	Klebsiella oxytoca	NA	insufficient data
2024	Temocillin	Klebsiella pneumoniae	8	NA
2024	Temocillin	Klebsiella pneumoniae ATCC 700603	NA	unspecified
2024	Temocillin	Morganella morganii	8	NA
2024	Temocillin	Proteus mirabilis	8	NA
2024	Temocillin	Proteus vulgaris	NA	insufficient data
2024	Temocillin	Salmonella enterica	16	NA
2024	Temocillin	Serratia marcescens	64	NA
2024	Temocillin	Yersinia enterocolitica	NA	insufficient data
2024	Tetracycline	Actinobacillus pleuropneumoniae	2	NA
2024	Tetracycline	Actinomyces israelii	NA	insufficient data
2024	Tetracycline	Arcanobacterium pyogenes	NA	insufficient data
2024	Tetracycline	Bacillus anthracis	0.125	NA
2024	Tetracycline	Bacillus cereus	NA	insufficient data
2024	Tetracycline	Bifidobacterium longum	NA	insufficient data
2024	Tetracycline	Bifidobacterium pseudolongum	NA	insufficient data
2024	Tetracycline	Bifidobacterium thermophilum	NA	insufficient data
2024	Tetracycline	Bordetella bronchiseptica	1	NA
2024	Tetracycline	Brucella melitensis	0.5	NA
2024	Tetracycline	Burkholderia pseudomallei	8	NA
2024	Tetracycline	Campylobacter coli	2	NA
2024	Tetracycline	Campylobacter jejuni	1	NA
2024	Tetracycline	Campylobacter upsaliensis	NA	insufficient data
2024	Tetracycline	Citrobacter freundii	NA	insufficient data
2024	Tetracycline	Citrobacter koseri	NA	insufficient data
2024	Tetracycline	Clostridioides difficile	0.25	tentative
2024	Tetracycline	Corynebacterium amycolatum	NA	insufficient data
2024	Tetracycline	Corynebacterium diphtheriae	NA	insufficient data
2024	Tetracycline	Corynebacterium jeikeium	NA	insufficient data
2024	Tetracycline	Corynebacterium pseudodiphtheriticum	NA	insufficient data
2024	Tetracycline	Corynebacterium ulcerans	NA	insufficient data
2024	Tetracycline	Cutibacterium acnes	NA	insufficient data
2024	Tetracycline	Enterobacter agglomerans	NA	insufficient data
2024	Tetracycline	Enterobacter cloacae	8	NA
2024	Tetracycline	Enterobacter dissolvens	NA	insufficient data
2024	Tetracycline	Enterococcus cecorum	NA	insufficient data
2024	Tetracycline	Enterococcus faecalis	4	NA
2024	Tetracycline	Enterococcus faecium	4	NA
2024	Tetracycline	Enterococcus hirae	4	NA
2024	Tetracycline	Escherichia coli	8	NA
2024	Tetracycline	Escherichia coli ATCC 25922	NA	insufficient data
2024	Tetracycline	Haemophilus influenzae	1	NA
2024	Tetracycline	Haemophilus influenzae ATCC 49247	NA	insufficient data
2024	Tetracycline	Haemophilus influenzae ATCC 49766	NA	insufficient data
2024	Tetracycline	Haemophilus parainfluenzae	NA	insufficient data
2024	Tetracycline	Hafnia alvei	NA	insufficient data
2024	Tetracycline	Helicobacter pylori	0.25	tentative
2024	Tetracycline	Kingella kingae	NA	insufficient data
2024	Tetracycline	Klebsiella aerogenes	NA	insufficient data
2024	Tetracycline	Klebsiella oxytoca	4	NA
2024	Tetracycline	Klebsiella pneumoniae	8	NA
2024	Tetracycline	Lactobacillus acidophilus	NA	insufficient data
2024	Tetracycline	Lactobacillus amylovorus	NA	insufficient data
2024	Tetracycline	Lactobacillus crispatus	NA	insufficient data
2024	Tetracycline	Lactobacillus delbrueckii	NA	insufficient data
2024	Tetracycline	Lactobacillus fermentum	NA	insufficient data
2024	Tetracycline	Lactobacillus gallinarum	NA	insufficient data
2024	Tetracycline	Lactobacillus gasseri	NA	insufficient data
2024	Tetracycline	Lactobacillus helveticus	NA	insufficient data
2024	Tetracycline	Lactobacillus johnsonii	NA	insufficient data
2024	Tetracycline	Lactobacillus lactis	NA	insufficient data
2024	Tetracycline	Lactobacillus paracasei	NA	insufficient data
2024	Tetracycline	Lactobacillus plantarum	NA	insufficient data
2024	Tetracycline	Lactobacillus reuteri	NA	insufficient data
2024	Tetracycline	Lactobacillus rhamnosus	4	tentative
2024	Tetracycline	Lactobacillus sakei	NA	insufficient data
2024	Tetracycline	Lactococcus lactis	NA	insufficient data
2024	Tetracycline	Listeria monocytogenes	NA	insufficient data
2024	Tetracycline	Mannheimia haemolytica	2	NA
2024	Tetracycline	Moraxella catarrhalis	2	NA
2024	Tetracycline	Morganella morganii	8	NA
2024	Tetracycline	Neisseria gonorrhoeae	NA	insufficient data
2024	Tetracycline	Neisseria meningitidis	NA	insufficient data
2024	Tetracycline	Pasteurella multocida	2	NA
2024	Tetracycline	Proteus mirabilis	128	NA
2024	Tetracycline	Pseudomonas aeruginosa	64	NA
2024	Tetracycline	Salmonella enterica	8	NA
2024	Tetracycline	Serratia liquefaciens	NA	insufficient data
2024	Tetracycline	Serratia marcescens	NA	insufficient data
2024	Tetracycline	Staphylococcus aureus	1	NA
2024	Tetracycline	Staphylococcus aureus MRSA	1	NA
2024	Tetracycline	Staphylococcus aureus MSSA	1	NA
2024	Tetracycline	Staphylococcus coagulase negative	1	NA
2024	Tetracycline	Staphylococcus epidermidis	1	tentative
2024	Tetracycline	Staphylococcus epidermidis MSSE	NA	unspecified
2024	Tetracycline	Staphylococcus haemolyticus	NA	insufficient data
2024	Tetracycline	Staphylococcus hyicus	1	NA
2024	Tetracycline	Staphylococcus pseudintermedius	1	NA
2024	Tetracycline	Staphylococcus saprophyticus	NA	insufficient data
2024	Tetracycline	Stenotrophomonas maltophilia	64	NA
2024	Tetracycline	Streptococcus agalactiae	1	NA
2024	Tetracycline	Streptococcus anginosus	1	tentative
2024	Tetracycline	Streptococcus canis	NA	insufficient data
2024	Tetracycline	Streptococcus dysgalactiae	NA	insufficient data
2024	Tetracycline	Streptococcus equi subspecies equi	0.25	NA
2024	Tetracycline	Streptococcus equisimilis	8	tentative
2024	Tetracycline	Streptococcus group G	2	tentative
2024	Tetracycline	Streptococcus oralis	2	tentative
2024	Tetracycline	Streptococcus pneumoniae	1	NA
2024	Tetracycline	Streptococcus pyogenes	2	NA
2024	Tetracycline	Streptococcus suis	4	NA
2024	Tetracycline	Streptococcus thermophilus	NA	insufficient data
2024	Tetracycline	Streptococcus uberis	2	NA
2024	Tetracycline	Vibrio alginolyticus	NA	insufficient data
2024	Tetracycline	Vibrio cholerae	0.5	tentative
2024	Tetracycline	Vibrio fluvialis	NA	insufficient data
2024	Tetracycline	Vibrio parahaemolyticus	NA	insufficient data
2024	Tetracycline	Vibrio vulnificus	NA	insufficient data
2024	Tetracycline	Yersinia enterocolitica	4	NA
2024	Tiamulin	Actinobacillus pleuropneumoniae	32	tentative
2024	Tiamulin	Mannheimia haemolytica	32	NA
2024	Tiamulin	Pasteurella multocida	64	NA
2024	Tiamulin	Staphylococcus aureus	2	tentative
2024	Tiamulin	Staphylococcus hyicus	2	NA
2024	Tiamulin	Streptococcus suis	NA	unspecified
2024	Ticarcillin-Clavulanic acid	Acinetobacter baumannii	NA	insufficient data
2024	Ticarcillin-Clavulanic acid	Bacteroides fragilis	NA	insufficient data
2024	Ticarcillin-Clavulanic acid	Bacteroides fragilis group	NA	insufficient data
2024	Ticarcillin-Clavulanic acid	Bacteroides thetaiotaomicron	NA	insufficient data
2024	Ticarcillin-Clavulanic acid	Citrobacter freundii	NA	insufficient data
2024	Ticarcillin-Clavulanic acid	Citrobacter koseri	NA	insufficient data
2024	Ticarcillin-Clavulanic acid	Clostridioides difficile	NA	insufficient data
2024	Ticarcillin-Clavulanic acid	Clostridium perfringens	NA	insufficient data
2024	Ticarcillin-Clavulanic acid	Enterobacter cloacae	NA	insufficient data
2024	Ticarcillin-Clavulanic acid	Escherichia coli	NA	insufficient data
2024	Ticarcillin-Clavulanic acid	Klebsiella aerogenes	NA	insufficient data
2024	Ticarcillin-Clavulanic acid	Klebsiella oxytoca	NA	insufficient data
2024	Ticarcillin-Clavulanic acid	Klebsiella pneumoniae	NA	insufficient data
2024	Ticarcillin-Clavulanic acid	Proteus mirabilis	NA	insufficient data
2024	Ticarcillin-Clavulanic acid	Salmonella enterica	8	tentative
2024	Ticarcillin-Clavulanic acid	Salmonella Paratyphi	8	tentative
2024	Ticarcillin-Clavulanic acid	Salmonella Typhimurium	8	tentative
2024	Ticarcillin-Clavulanic acid	Serratia liquefaciens	NA	insufficient data
2024	Ticarcillin-Clavulanic acid	Serratia marcescens	NA	insufficient data
2024	Ticarcillin-Clavulanic acid	Stenotrophomonas maltophilia	NA	insufficient data
2024	Ticarcillin	Acinetobacter baumannii	NA	insufficient data
2024	Ticarcillin	Citrobacter koseri	NA	insufficient data
2024	Ticarcillin	Clostridioides difficile	NA	insufficient data
2024	Ticarcillin	Clostridium perfringens	NA	insufficient data
2024	Ticarcillin	Pseudomonas aeruginosa	NA	insufficient data
2024	Ticarcillin	Pseudomonas fluorescens group	NA	insufficient data
2024	Ticarcillin	Salmonella enterica	NA	insufficient data
2024	Ticarcillin	Salmonella Paratyphi	NA	insufficient data
2024	Ticarcillin	Salmonella Typhimurium	NA	insufficient data
2024	Ticarcillin	Serratia liquefaciens	NA	insufficient data
2024	Ticarcillin	Serratia marcescens	NA	insufficient data
2024	Ticarcillin	Shigella flexneri	NA	insufficient data
2024	Ticarcillin	Shigella sonnei	NA	insufficient data
2024	Tigecycline	Acinetobacter baumannii	NA	insufficient data
2024	Tigecycline	Acinetobacter pittii	0.5	tentative
2024	Tigecycline	Bacillus anthracis	0.25	tentative
2024	Tigecycline	Bacteroides fragilis	4	NA
2024	Tigecycline	Citrobacter freundii	1	NA
2024	Tigecycline	Citrobacter koseri	0.5	NA
2024	Tigecycline	Enterobacter asburiae	2	NA
2024	Tigecycline	Enterobacter cloacae	1	NA
2024	Tigecycline	Enterococcus faecalis	0.25	NA
2024	Tigecycline	Enterococcus faecium	0.25	NA
2024	Tigecycline	Escherichia coli	0.5	NA
2024	Tigecycline	Escherichia coli NCTC 13846	NA	insufficient data
2024	Tigecycline	Haemophilus influenzae	1	tentative
2024	Tigecycline	Hafnia alvei	NA	insufficient data
2024	Tigecycline	Klebsiella aerogenes	1	NA
2024	Tigecycline	Klebsiella oxytoca	1	NA
2024	Tigecycline	Klebsiella pneumoniae	2	NA
2024	Tigecycline	Klebsiella pneumoniae ATCC 700603	NA	insufficient data
2024	Tigecycline	Listeria monocytogenes	NA	insufficient data
2024	Tigecycline	Moraxella catarrhalis	0.25	NA
2024	Tigecycline	Morganella morganii	4	NA
2024	Tigecycline	Mycobacterium abscessus	2	NA
2024	Tigecycline	Pantoea agglomerans	NA	insufficient data
2024	Tigecycline	Proteus mirabilis	8	NA
2024	Tigecycline	Proteus vulgaris	4	NA
2024	Tigecycline	Providencia rettgeri	4	tentative
2024	Tigecycline	Providencia stuartii	4	NA
2024	Tigecycline	Pseudomonas aeruginosa	64	NA
2024	Tigecycline	Pseudomonas aeruginosa ATCC 27853	NA	insufficient data
2024	Tigecycline	Serratia liquefaciens	1	NA
2024	Tigecycline	Serratia marcescens	4	NA
2024	Tigecycline	Shigella sonnei	NA	insufficient data
2024	Tigecycline	Staphylococcus aureus	0.5	NA
2024	Tigecycline	Staphylococcus aureus ATCC 29213	NA	insufficient data
2024	Tigecycline	Staphylococcus aureus MRSA	0.5	tentative
2024	Tigecycline	Staphylococcus aureus MSSA	0.5	tentative
2024	Tigecycline	Staphylococcus epidermidis	1	NA
2024	Tigecycline	Staphylococcus epidermidis MSSE	NA	unspecified
2024	Tigecycline	Staphylococcus haemolyticus	1	tentative
2024	Tigecycline	Stenotrophomonas maltophilia	4	tentative
2024	Tigecycline	Streptococcus pneumoniae	0.125	tentative
2024	Tigecycline	Streptococcus pyogenes	NA	insufficient data
2024	Tildipirosin	Actinobacillus pleuropneumoniae	16	tentative
2024	Tildipirosin	Mannheimia haemolytica	2	NA
2024	Tildipirosin	Pasteurella multocida	4	NA
2024	Tildipirosin	Staphylococcus hyicus	NA	insufficient data
2024	Tildipirosin	Staphylococcus pseudintermedius	4	NA
2024	Tildipirosin	Streptococcus uberis	NA	unspecified
2024	Tilmicosin	Actinobacillus pleuropneumoniae	32	tentative
2024	Tilmicosin	Pasteurella multocida	32	NA
2024	Tilmicosin	Staphylococcus hyicus	4	tentative
2024	Tilmicosin	Staphylococcus pseudintermedius	2	NA
2024	Tilmicosin	Streptococcus suis	NA	unspecified
2024	Tilmicosin	Streptococcus uberis	NA	unspecified
2024	Tobramycin	Acinetobacter baumannii	4	NA
2024	Tobramycin	Aeromonas caviae	NA	unspecified
2024	Tobramycin	Aeromonas hydrophila	NA	unspecified
2024	Tobramycin	Aeromonas veronii	NA	unspecified
2024	Tobramycin	Alcaligenes faecalis	NA	insufficient data
2024	Tobramycin	Bacillus cereus	NA	insufficient data
2024	Tobramycin	Burkholderia cepacia complex	NA	insufficient data
2024	Tobramycin	Campylobacter jejuni	NA	unspecified
2024	Tobramycin	Citrobacter braakii	NA	insufficient data
2024	Tobramycin	Citrobacter freundii	2	NA
2024	Tobramycin	Citrobacter koseri	2	tentative
2024	Tobramycin	Enterobacter amnigenus	NA	insufficient data
2024	Tobramycin	Enterobacter cloacae	2	NA
2024	Tobramycin	Enterobacter sakazakii	NA	insufficient data
2024	Tobramycin	Enterococcus faecalis	NA	insufficient data
2024	Tobramycin	Enterococcus faecium	NA	insufficient data
2024	Tobramycin	Escherichia coli	4	NA
2024	Tobramycin	Escherichia coli ATCC 25922	NA	unspecified
2024	Tobramycin	Haemophilus influenzae	NA	insufficient data
2024	Tobramycin	Klebsiella aerogenes	2	NA
2024	Tobramycin	Klebsiella oxytoca	2	NA
2024	Tobramycin	Klebsiella pneumoniae	2	NA
2024	Tobramycin	Morganella morganii	4	NA
2024	Tobramycin	Plesiomonas shigelloides	NA	insufficient data
2024	Tobramycin	Proteus mirabilis	4	NA
2024	Tobramycin	Proteus vulgaris	4	NA
2024	Tobramycin	Pseudomonas aeruginosa	2	NA
2024	Tobramycin	Pseudomonas putida group	NA	insufficient data
2024	Tobramycin	Serratia liquefaciens	NA	insufficient data
2024	Tobramycin	Serratia marcescens	8	NA
2024	Tobramycin	Staphylococcus aureus	2	NA
2024	Tobramycin	Streptococcus agalactiae	128	tentative
2024	Tobramycin	Yersinia enterocolitica	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Acinetobacter baumannii	0.5	NA
2024	Trimethoprim-Sulfamethoxazole	Acinetobacter pittii	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Actinobacillus pleuropneumoniae	0.25	NA
2024	Trimethoprim-Sulfamethoxazole	Aeromonas caviae	NA	unspecified
2024	Trimethoprim-Sulfamethoxazole	Bordetella bronchiseptica	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Brucella melitensis	0.125	NA
2024	Trimethoprim-Sulfamethoxazole	Burkholderia cepacia complex	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Burkholderia pseudomallei	4	NA
2024	Trimethoprim-Sulfamethoxazole	Campylobacter coli	4	NA
2024	Trimethoprim-Sulfamethoxazole	Campylobacter jejuni	16	NA
2024	Trimethoprim-Sulfamethoxazole	Citrobacter freundii	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Citrobacter koseri	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Corynebacterium diphtheriae	NA	unspecified
2024	Trimethoprim-Sulfamethoxazole	Corynebacterium glucuronolyticum	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Corynebacterium striatum	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Corynebacterium ulcerans	NA	unspecified
2024	Trimethoprim-Sulfamethoxazole	Enterobacter cloacae	0.5	tentative
2024	Trimethoprim-Sulfamethoxazole	Enterococcus cecorum	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Enterococcus faecium	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Escherichia coli	0.5	NA
2024	Trimethoprim-Sulfamethoxazole	Haemophilus influenzae	0.5	NA
2024	Trimethoprim-Sulfamethoxazole	Klebsiella aerogenes	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Klebsiella oxytoca	0.5	tentative
2024	Trimethoprim-Sulfamethoxazole	Klebsiella pneumoniae	0.5	NA
2024	Trimethoprim-Sulfamethoxazole	Klebsiella pneumoniae ATCC 700603	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Klebsiella variicola	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Kocuria kristinae	NA	unspecified
2024	Trimethoprim-Sulfamethoxazole	Legionella pneumophila	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Listeria monocytogenes	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Mannheimia haemolytica	0.06	NA
2024	Trimethoprim-Sulfamethoxazole	Moraxella catarrhalis	1	tentative
2024	Trimethoprim-Sulfamethoxazole	Morganella morganii	0.5	NA
2024	Trimethoprim-Sulfamethoxazole	Mycobacterium avium	4	tentative
2024	Trimethoprim-Sulfamethoxazole	Mycobacterium avium ATCC 700898	NA	unspecified
2024	Trimethoprim-Sulfamethoxazole	Mycobacterium intracellulare	8	tentative
2024	Trimethoprim-Sulfamethoxazole	Neisseria gonorrhoeae	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Neisseria meningitidis	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Nocardia abscessus	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Pasteurella multocida	0.125	NA
2024	Trimethoprim-Sulfamethoxazole	Proteus mirabilis	0.5	NA
2024	Trimethoprim-Sulfamethoxazole	Proteus vulgaris	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Pseudomonas aeruginosa	32	tentative
2024	Trimethoprim-Sulfamethoxazole	Pseudomonas aeruginosa ATCC 27853	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Pseudomonas fluorescens group	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Rothia aeria	NA	unspecified
2024	Trimethoprim-Sulfamethoxazole	Rothia dentocariosa	NA	unspecified
2024	Trimethoprim-Sulfamethoxazole	Rothia mucilaginosa	NA	unspecified
2024	Trimethoprim-Sulfamethoxazole	Salmonella enterica	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Serratia liquefaciens	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Serratia marcescens	2	NA
2024	Trimethoprim-Sulfamethoxazole	Staphylococcus aureus	0.25	tentative
2024	Trimethoprim-Sulfamethoxazole	Staphylococcus epidermidis	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Staphylococcus hyicus	0.25	tentative
2024	Trimethoprim-Sulfamethoxazole	Stenotrophomonas maltophilia	2	NA
2024	Trimethoprim-Sulfamethoxazole	Streptococcus agalactiae	0.5	NA
2024	Trimethoprim-Sulfamethoxazole	Streptococcus canis	0.125	tentative
2024	Trimethoprim-Sulfamethoxazole	Streptococcus dysgalactiae	0.25	NA
2024	Trimethoprim-Sulfamethoxazole	Streptococcus equi subspecies zooepidemicus	NA	unspecified
2024	Trimethoprim-Sulfamethoxazole	Streptococcus equisimilis	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Streptococcus pneumoniae	1	NA
2024	Trimethoprim-Sulfamethoxazole	Streptococcus pneumoniae ATCC 49619	NA	insufficient data
2024	Trimethoprim-Sulfamethoxazole	Streptococcus pyogenes	0.5	tentative
2024	Trimethoprim-Sulfamethoxazole	Streptococcus suis	0.25	tentative
2024	Trimethoprim-Sulfamethoxazole	Streptococcus uberis	1	NA
2024	Trimethoprim-Sulfamethoxazole	Vibrio alginolyticus	NA	unspecified
2024	Trimethoprim-Sulfamethoxazole	Vibrio cholerae	0.125	tentative
2024	Trimethoprim-Sulfamethoxazole	Vibrio fluvialis	NA	unspecified
2024	Trimethoprim-Sulfamethoxazole	Vibrio parahaemolyticus	NA	unspecified
2024	Trimethoprim-Sulfamethoxazole	Vibrio vulnificus	NA	unspecified
2024	Trimethoprim-Sulfamethoxazole	Yersinia enterocolitica	NA	insufficient data
2024	Trimethoprim	Acinetobacter baumannii	NA	insufficient data
2024	Trimethoprim	Citrobacter freundii	NA	insufficient data
2024	Trimethoprim	Enterobacter agglomerans	NA	insufficient data
2024	Trimethoprim	Enterobacter cloacae	2	tentative
2024	Trimethoprim	Enterobacter dissolvens	NA	insufficient data
2024	Trimethoprim	Enterococcus faecalis ATCC 29212	NA	insufficient data
2024	Trimethoprim	Escherichia coli	2	NA
2024	Trimethoprim	Haemophilus influenzae	0.5	NA
2024	Trimethoprim	Hafnia alvei	NA	insufficient data
2024	Trimethoprim	Klebsiella aerogenes	NA	insufficient data
2024	Trimethoprim	Klebsiella oxytoca	NA	insufficient data
2024	Trimethoprim	Klebsiella pneumoniae	2	tentative
2024	Trimethoprim	Listeria monocytogenes	NA	insufficient data
2024	Trimethoprim	Moraxella catarrhalis	64	NA
2024	Trimethoprim	Morganella morganii	NA	insufficient data
2024	Trimethoprim	Pasteurella multocida	NA	insufficient data
2024	Trimethoprim	Proteus mirabilis	8	tentative
2024	Trimethoprim	Proteus vulgaris	8	tentative
2024	Trimethoprim	Salmonella enterica	2	tentative
2024	Trimethoprim	Serratia marcescens	NA	insufficient data
2024	Trimethoprim	Staphylococcus aureus	2	NA
2024	Trimethoprim	Staphylococcus aureus ATCC 29213	NA	insufficient data
2024	Trimethoprim	Staphylococcus aureus MRSA	2	tentative
2024	Trimethoprim	Staphylococcus aureus MSSA	2	tentative
2024	Trimethoprim	Staphylococcus capitis	NA	insufficient data
2024	Trimethoprim	Staphylococcus epidermidis	2	tentative
2024	Trimethoprim	Staphylococcus epidermidis MSSE	NA	unspecified
2024	Trimethoprim	Staphylococcus hyicus	NA	insufficient data
2024	Trimethoprim	Staphylococcus lugdunensis	NA	insufficient data
2024	Trimethoprim	Streptococcus agalactiae	NA	insufficient data
2024	Trimethoprim	Streptococcus anginosus	NA	insufficient data
2024	Trimethoprim	Streptococcus pneumoniae	16	NA
2024	Trimethoprim	Streptococcus pyogenes	NA	insufficient data
2024	Trimethoprim	Yersinia enterocolitica	NA	insufficient data
2024	Tulathromycin	Actinobacillus pleuropneumoniae	64	tentative
2024	Tulathromycin	Bordetella bronchiseptica	NA	insufficient data
2024	Tulathromycin	Haemophilus parasuis	NA	insufficient data
2024	Tulathromycin	Mannheimia haemolytica	16	NA
2024	Tulathromycin	Pasteurella multocida	8	NA
2024	Tulathromycin	Staphylococcus hyicus	8	tentative
2024	Tulathromycin	Staphylococcus pseudintermedius	8	NA
2024	Tulathromycin	Streptococcus dysgalactiae	NA	insufficient data
2024	Tulathromycin	Streptococcus suis	NA	insufficient data
2024	Tulathromycin	Streptococcus uberis	NA	insufficient data
2024	Tylosin	Actinobacillus pleuropneumoniae	64	tentative
2024	Tylosin	Enterococcus faecium	NA	unspecified
2024	Tylosin	Mannheimia haemolytica	NA	insufficient data
2024	Tylosin	Pasteurella multocida	NA	insufficient data
2024	Tylosin	Staphylococcus hyicus	4	tentative
2024	Tylosin	Staphylococcus pseudintermedius	2	NA
2024	Tylosin	Streptococcus suis	NA	unspecified
2024	Tylosin	Streptococcus uberis	NA	unspecified
2024	Vancomycin	Aerococcus urinae	NA	insufficient data
2024	Vancomycin	Bacillus anthracis	4	NA
2024	Vancomycin	Bacillus cereus	NA	insufficient data
2024	Vancomycin	Bifidobacterium adolescentis	NA	insufficient data
2024	Vancomycin	Bifidobacterium animalis	NA	insufficient data
2024	Vancomycin	Bifidobacterium bifidum	NA	insufficient data
2024	Vancomycin	Bifidobacterium longum	NA	insufficient data
2024	Vancomycin	Bifidobacterium pseudolongum	NA	insufficient data
2024	Vancomycin	Bifidobacterium thermophilum	NA	insufficient data
2024	Vancomycin	Clostridioides difficile	2	NA
2024	Vancomycin	Corynebacterium diphtheriae	NA	insufficient data
2024	Vancomycin	Corynebacterium ulcerans	NA	insufficient data
2024	Vancomycin	Cutibacterium acnes	NA	insufficient data
2024	Vancomycin	Enterococcus faecalis	4	NA
2024	Vancomycin	Enterococcus faecalis ATCC 29212	NA	insufficient data
2024	Vancomycin	Enterococcus faecium	4	NA
2024	Vancomycin	Kocuria kristinae	NA	unspecified
2024	Vancomycin	Lactobacillus amylovorus	NA	insufficient data
2024	Vancomycin	Lactobacillus delbrueckii	NA	insufficient data
2024	Vancomycin	Lactobacillus helveticus	NA	insufficient data
2024	Vancomycin	Lactobacillus johnsonii	NA	insufficient data
2024	Vancomycin	Lactobacillus lactis	NA	insufficient data
2024	Vancomycin	Lactococcus lactis	NA	unspecified
2024	Vancomycin	Listeria monocytogenes	2	tentative
2024	Vancomycin	Nocardia abscessus	NA	insufficient data
2024	Vancomycin	Nocardia cyriacigeorgica	NA	insufficient data
2024	Vancomycin	Nocardia nova	NA	insufficient data
2024	Vancomycin	Rothia aeria	NA	unspecified
2024	Vancomycin	Rothia dentocariosa	NA	unspecified
2024	Vancomycin	Rothia mucilaginosa	NA	unspecified
2024	Vancomycin	Staphylococcus aureus	2	NA
